thee and
and thy
thy virtues
virtues here
here seize
seize upon
upon be
be it
it lawful
lawful take
take up
up cast
cast away
away gods
gods gods
gods tis
tis strange
strange that
that from
from their
their neglect
neglect my
my love
love should
should kindle
kindle to
to inflamed
inflamed respect
respect thy
thy dowerless
dowerless daughter
daughter king
king thrown
thrown to
to my
my chance
chance is
is queen
queen of
of us
us of
of ours
ours and
and our
our fair
fair france
france not
not all
all the
the dukes
dukes of
of waterish
waterish burgundy
burgundy can
can buy
buy this
this unprized
unprized precious
precious maid
maid of
of me
me bid
bid them
them farewell
farewell cordelia
cordelia though
though unkind
unkind thou
thou losest
losest here
here better
better where
where to
to find
find king
king lear
lear thou
thou hast
hast her
her france
france let
let her
her be
be thine
thine for
for we
we have
have no
no such
such daughter
daughter nor
nor shall
shall ever
ever see
see that
that face
face of
of hers
hers again
again therefore
therefore be
be gone
gone without
without our
our grace
grace our
our love
love our
our benison
benison come
come noble
noble burgundy
burgundy flourish
flourish exeunt
exeunt all
all but
but king
king of
of france
france goneril
goneril regan
regan and
and cordelia
cordelia king
king of
of france
france bid
bid farewell
farewell to
to your
your sisters
sisters cordelia
cordelia the
the jewels
jewels of
of our
our father
father with
with eyes
eyes cordelia
cordelia leaves
leaves you
you know
know you
you what
what you
you are
are and
and like
like sister
sister am
am most
most loath
loath to
to call
call your
your faults
faults as
as they
they are
are named
named use
use well
well our
our father
father to
to your
your professed
professed bosoms
bosoms commit
commit him
him but
but yet
yet alas
alas stood
stood within
within his
his grace
grace would
would prefer
prefer him
him to
to better
better place
place so
so farewell
farewell to
to you
you both
both regan
regan prescribe
prescribe not
not us
us our
our duties
duties goneril
goneril let
let your
your study
study be
be to
to content
content your
your lord
lord who
who hath
hath received
received you
you at
at alms
alms you
you have
have obedience
obedience scanted
scanted and
and well
well are
are worth
worth the
the want
want that
that you
you have
have wanted
wanted cordelia
cordelia time
time shall
shall unfold
unfold what
what plaited
plaited cunning
cunning hides
hides who
who cover
cover faults
faults at
at last
last shame
shame them
them derides
derides well
well may
may you
you prosper
prosper king
king of
of france
france come
come my
my fair
fair cordelia
cordelia exeunt
exeunt king
king of
of france
france and
and cordelia
cordelia goneril
goneril sister
sister it
it is
is not
not little
little have
have to
to say
say of
of what
what most
most nearly
nearly appertains
appertains to
to us
us both
both think
think our
our father
father will
will hence
hence to
to night
night regan
regan most
most certain
certain and
and with
with you
you next
next month
month with
with us
us goneril
goneril you
you see
see how
how full
full of
of changes
changes his
his age
age is
is the
the observation
observation we
we have
have made
made of
of it
it hath
hath not
not been
been little
little he
he always
always loved
loved our
our sister
sister most
most and
and with
with what
what poor
poor judgment
judgment he
he hath
hath now
now cast
cast her
her off
off appears
appears too
too grossly
grossly regan
regan tis
tis the
the infirmity
infirmity of
of his
his age
age yet
yet he
he hath
hath ever
ever but
but slenderly
slenderly known
known himself
himself goneril
goneril the
the best
best and
and soundest
soundest of
of his
his time
time hath
hath been
been but
but rash
rash then
then must
must we
we look
look to
to receive
receive from
from his
his age
age not
not alone
alone the
the imperfections
imperfections of
of long
long engraffed
engraffed condition
condition but
but therewithal
therewithal the
the unruly
unruly waywardness
waywardness that
that infirm
infirm and
and choleric
choleric years
years bring
bring with
with them
them regan
regan such
such unconstant
unconstant starts
starts are
are we
we like
like to
to have
have from
from him
him as
as this
this of
of banishment
banishment goneril
goneril there
there is
is further
further compliment
compliment of
of leavetaking
leavetaking between
between france
france and
and him
him pray
pray you
you hit
hit together
together if
if our
our father
father carry
carry authority
authority with
with such
such dispositions
dispositions as
as he
he bears
bears this
this last
last surrender
surrender of
of his
his will
will but
but offend
offend us
us regan
regan we
we shall
shall further
further think
think goneril
goneril we
we must
must do
do something
something and
and the
the heat
heat exeunt
exeunt scene
scene ii
ii the
the earl
earl of
of castle
castle enter
enter edmund
edmund with
with letter
letter edmund
edmund thou
thou nature
nature art
art my
my goddess
goddess to
to thy
thy law
law my
my services
services are
are bound
bound wherefore
wherefore should
should stand
stand in
in the
the plague
plague of
of custom
custom and
and permit
permit the
the curiosity
curiosity of
of nations
nations to
to deprive
deprive me
me for
for that
that am
am some
some twelve
twelve or
or fourteen
fourteen moon
moon shines
shines lag
lag of
of brother
brother why
why bastard
bastard wherefore
wherefore base
base when
when my
my dimensions
dimensions are
are as
as well
well compact
compact my
my mind
mind as
as generous
generous and
and my
my shape
shape as
as true
true as
as honest
honest issue
issue why
why brand
brand they
they us
us with
with base
base with
with baseness
baseness bastardy
bastardy base
base base
base who
who in
in the
the lusty
lusty stealth
stealth of
of nature
nature take
take more
more composition
composition and
and fierce
fierce quality
quality than
than doth
doth within
within dull
dull stale
stale tired
tired bed
bed go
go to
to the
the creating
creating whole
whole tribe
tribe of
of fops
fops got
got tween
tween asleep
asleep and
and wake
wake well
well then
then legitimate
legitimate edgar
edgar must
must have
have your
your land
land our
our love
love is
is to
to the
the bastard
bastard edmund
edmund as
as to
to the
the legitimate
legitimate fine
fine word
word legitimate
legitimate well
well my
my legitimate
legitimate if
if this
this letter
letter speed
speed and
and my
my invention
invention thrive
thrive edmund
edmund the
the base
base shall
shall top
top the
the legitimate
legitimate grow
grow prosper
prosper now
now gods
gods stand
stand up
up for
for bastards
bastards enter
enter gloucester
gloucester gloucester
gloucester kent
kent thus
thus and
and france
france in
in choler
choler parted
parted and
and the
the king
king gone
gone to
to night
night subscribed
subscribed his
his power
power confined
confined to
to exhibition
exhibition all
all this
this done
done upon
upon the
the gad
gad edmund
edmund how
how now
now what
what news
news edmund
edmund so
so please
please your
your lordship
lordship none
none putting
putting up
up the
the letter
letter gloucester
gloucester why
why so
so earnestly
earnestly seek
seek you
you to
to put
put up
up that
that letter
letter edmund
edmund know
know no
no news
news my
my lord
lord gloucester
gloucester what
what paper
paper were
were you
you reading
reading edmund
edmund nothing
nothing my
my lord
lord gloucester
gloucester no
no what
what needed
needed then
then that
that terrible
terrible dispatch
dispatch of
of it
it into
into your
your pocket
pocket the
the quality
quality of
of nothing
nothing hath
hath not
not such
such need
need to
to hide
hide itself
itself see
see come
come if
if it
it be
be nothing
nothing shall
shall not
not need
need spectacles
spectacles edmund
edmund beseech
beseech you
you sir
sir pardon
pardon me
me it
it is
is letter
letter from
from my
my brother
brother that
that have
have not
not all
all read
read and
and for
for so
so much
much as
as have
have perused
perused find
find it
it not
not fit
fit for
for your
your looking
looking gloucester
gloucester give
give me
me the
the letter
letter sir
sir edmund
edmund shall
shall offend
offend either
either to
to detain
detain or
or give
give it
it the
the contents
contents as
as in
in part
part understand
understand them
them are
are to
to blame
blame gloucester
gloucester see
see see
see edmund
edmund hope
hope for
for my
my justification
justification he
he wrote
wrote this
this but
but as
as an
an essay
essay or
or taste
taste of
of my
my virtue
virtue gloucester
gloucester reads
reads this
this policy
policy and
and reverence
reverence of
of age
age makes
makes the
the world
world bitter
bitter to
to the
the best
best of
of our
our times
times keeps
keeps our
our fortunes
fortunes from
from us
us till
till our
our oldness
oldness cannot
cannot relish
relish them
them begin
begin to
to find
find an
an idle
idle and
and fond
fond bondage
bondage in
in the
the oppression
oppression of
of aged
aged tyranny
tyranny who
who sways
sways not
not as
as it
it hath
hath power
power but
but as
as it
it is
is suffered
suffered come
come to
to me
me that
that of
of this
this may
may speak
speak more
more if
if our
our father
father would
would sleep
sleep till
till waked
waked him
him you
you should
should half
half his
his revenue
revenue for
for ever
ever and
and live
live the
the beloved
beloved of
of your
your brother
brother edgar
edgar hum
hum conspiracy
conspiracy sleep
sleep till
till waked
waked him
him you
you should
should enjoy
enjoy half
half his
his revenue
revenue my
my son
son edgar
edgar had
had he
he hand
hand to
to write
write this
this heart
heart and
and brain
brain to
to breed
breed it
it in
in when
when came
came this
this to
to you
you who
who brought
brought it
it edmund
edmund it
it was
was not
not brought
brought me
me my
my lord
lord the
the cunning
cunning of
of it
it found
found it
it thrown
thrown in
in at
at the
the casement
casement of
of my
my closet
closet gloucester
gloucester you
you know
know the
the character
character to
to be
be your
your edmund
edmund if
if the
the matter
matter were
were good
good my
my lord
lord durst
durst swear
swear it
it were
were his
his but
but in
in respect
respect of
of that
that would
would fain
fain think
think it
it were
were not
not gloucester
gloucester it
it is
is his
his edmund
edmund it
it is
is his
his hand
hand my
my lord
lord but
but hope
hope his
his heart
heart is
is not
not in
in the
the contents
contents gloucester
gloucester hath
hath he
he never
never heretofore
heretofore sounded
sounded you
you in
in this
this business
business edmund
edmund never
never my
my lord
lord but
but have
have heard
heard him
him oft
oft maintain
